epoch,train_loss,val_loss,metrics/precision,metrics/recall,metrics/mAP50,metrics/mAP50-95
1,0.8,0.85,0.5,0.45,0.48,0.25
2,0.76,0.8119999999999999,0.525,0.47800000000000004,0.507,0.268
3,0.7200000000000001,0.774,0.55,0.506,0.534,0.286
4,0.68,0.736,0.575,0.534,0.5609999999999999,0.304
5,0.64,0.698,0.6,0.562,0.588,0.322
6,0.6000000000000001,0.6599999999999999,0.625,0.5900000000000001,0.615,0.33999999999999997
7,0.56,0.622,0.65,0.618,0.642,0.358
8,0.52,0.584,0.675,0.646,0.669,0.376
9,0.48000000000000004,0.546,0.7,0.674,0.696,0.394
10,0.44000000000000006,0.508,0.725,0.702,0.723,0.412
11,0.4,0.47,0.75,0.73,0.75,0.43
12,0.36000000000000004,0.432,0.775,0.758,0.7769999999999999,0.44799999999999995
13,0.32000000000000006,0.394,0.8,0.786,0.804,0.46599999999999997
14,0.28,0.356,0.825,0.8140000000000001,0.831,0.484
15,0.24,0.31799999999999995,0.8500000000000001,0.8420000000000001,0.858,0.502
