image,type,true_class,predicted_class,confidence,iou
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0002.jpg,false_positive,background,Crop,0.5367929935455322,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0003.jpg,correct,Crop,Crop,0.7390400767326355,0.6006571294178064
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0003.jpg,missed_crop,Crop,background,0.0,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0003.jpg,missed_crop,Crop,background,0.0,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0004.jpg,correct,Crop,Crop,0.6114852428436279,0.7025623171624059
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0005.jpg,correct,Crop,Crop,0.39039483666419983,0.9111456107652797
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0005.jpg,false_positive,background,Crop,0.7449173927307129,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0005.jpg,false_positive,background,Crop,0.29112619161605835,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0008.jpg,correct,Crop,Crop,0.42812225222587585,0.7553555763729193
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0008.jpg,correct,Crop,Crop,0.6154142618179321,0.6299297223760894
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0009.jpg,correct,Crop,Crop,0.5789915323257446,0.6273523485683251
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0009.jpg,false_positive,background,Crop,0.34561994671821594,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0013.jpg,correct,Crop,Crop,0.33245134353637695,0.8094273572904485
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0013.jpg,missed_crop,Crop,background,0.0,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0013.jpg,false_positive,background,Crop,0.25473710894584656,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0015.jpg,missed_crop,Crop,background,0.0,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0015.jpg,false_positive,background,Crop,0.5353515148162842,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0016.jpg,correct,Crop,Crop,0.5912439227104187,0.8099332027668656
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0018.jpg,correct,Crop,Crop,0.5985726714134216,0.7722490308213336
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0018.jpg,correct,Crop,Crop,0.7501661777496338,0.5704253196184698
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0018.jpg,false_positive,background,Crop,0.2718817889690399,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0020.jpg,correct,Crop,Crop,0.6341203451156616,0.5462843132241523
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0022.jpg,false_positive,background,Crop,0.3248107135295868,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0024.jpg,correct,Crop,Crop,0.7702171206474304,0.7273007432155175
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0024.jpg,correct,Crop,Crop,0.2574983239173889,0.5468489004614473
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0024.jpg,false_positive,background,Crop,0.34011203050613403,0.0
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0025.jpg,correct,Crop,Crop,0.7420739531517029,0.8236948542777538
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0026.jpg,correct,Crop,Crop,0.7289522290229797,0.9194584484943892
DJI_20230614084705_0072_V_JPG.rf.f27f1f016a098b476448c64703df3633_tile_0027.jpg,correct,Crop,Crop,0.7120569944381714,0.8751366567684558
