epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,328.77,1.97658,3.39285,0.00672,0.51586,0.55414,0.51416,0.20465,1.91565,1.67603,0.00842,0.00998847,0.00332949,0.00998847,0.00332949,0.00998847,0.00332949,0.00998847,0.00332949
2,633.573,1.94419,1.56171,0.00657,0.50246,0.56627,0.51305,0.19902,1.94884,1.46614,0.00863,0.0195927,0.0065309,0.0195927,0.0065309,0.0195927,0.0065309,0.0195927,0.0065309
3,935.296,1.98567,1.45973,0.0068,0.52077,0.57653,0.53608,0.21033,1.96068,1.36955,0.00876,0.0288009,0.00960031,0.0288009,0.00960031,0.0288009,0.00960031,0.0288009,0.00960031
4,1231.41,2.00027,1.41287,0.00686,0.54845,0.54788,0.5271,0.20195,2.03512,1.81988,0.00915,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1530.44,2.00595,1.33151,0.00688,0.57289,0.62066,0.57913,0.21913,2.01424,1.29203,0.00903,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1823.79,2.00803,1.27374,0.00684,0.57927,0.59232,0.57426,0.2332,1.9474,1.22399,0.00878,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2116.68,2.00104,1.23892,0.00687,0.6067,0.61581,0.60305,0.23499,1.99656,1.12889,0.00893,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2412.66,2.00563,1.22277,0.00683,0.61466,0.60786,0.61586,0.24474,1.98004,1.13044,0.00883,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2708.46,2.0106,1.18043,0.00691,0.66005,0.63621,0.66204,0.2628,1.95508,1.09676,0.0087,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3004.3,1.99902,1.14969,0.00683,0.64122,0.61129,0.61946,0.24864,1.97025,1.11481,0.00882,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3300.21,1.98231,1.16118,0.00679,0.66275,0.64136,0.65061,0.25954,1.95404,1.0594,0.00868,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3594.21,1.97565,1.16447,0.00673,0.65363,0.65536,0.65735,0.26714,1.93781,1.09262,0.00861,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
